1-1536    93.48851  -12.08023  -3.19118         4
1-1544    95.67693  -14.21382  -2.56029         4
1-1557    99.72951  -16.87972  -1.70419         4
1-1566    101.3727  -17.82157  -0.94748         4
1-1580    99.48016  -16.79775    0.2495         4
1-1588    95.97409  -14.72764   0.27473         4
1-1601    90.36966  -10.64892   0.66322         4
1-1608    89.56404  -9.33979   1.42175         4
1-1624    93.35898  -9.24527   3.41333         4
1-1634    98.25709  -10.43411   4.87437         4
1-1645    103.1539  -12.56133   6.42378         4
1-1656    108.55398  -17.21585   7.58569         4
1-1668    110.52528  -20.16025   6.93858         4
1-1676    109.53105  -19.51074   5.43668         4
1-1690    104.00501  -11.99718   1.70155         4
1-1699    101.41908   -6.6701  -0.64284         4
1-1711    98.02307   -0.5353  -4.11687         0
1-1720    96.15256   3.35592  -6.57607         0
1-1733    93.25675   8.73583  -9.34236         0
1-1743    91.74971  10.33815  -10.51442         0
1-1754    91.36127   9.13623  -11.42809         0
1-1765    91.72073   7.76416  -12.09712         0
1-1776    90.87359   9.45602  -12.79982         0
1-1786    90.25078  12.14738  -13.18799         0
1-1798    89.68237  13.30927  -11.94206         0
1-1808    87.99183  13.48327  -10.22113         0
1-1819     83.1895  16.64665  -9.57448         0
1-1830    77.37466  21.77209  -9.90282         0
1-1841    74.82047  24.50243  -10.00243         0
1-1851    76.35281  23.06685  -9.16975         0
1-1863    81.61259   19.7584  -7.11343         0
1-1873    85.89497  17.27889  -4.80655         0
1-1883    87.12526  15.45062  -1.84688         0
1-1894    85.93011  13.97902   1.66008         0
1-1905    85.32095  13.30548   4.57344         0
1-1914    86.99731  13.50943   6.69989         0
1-1936    98.64307    14.076  11.23973         0
1-1937    99.14729  14.01131  11.40041         0
1-1949    104.45296   12.4194  13.54733         0
1-1959    105.61713  10.89504  14.38507         0
1-1967    104.78458   9.31757  14.26292         0
1-1974    102.78488   8.40498  13.57709         0
2-0012    -1.79527  -5.04874  -12.2352         1
2-0031     0.48701  -9.51483  -10.35229         8
2-0054     4.38188  -24.26182   -3.2756         8
2-0073     5.25171  -30.66976   0.28755         8
2-0093     3.80171  -21.13743  -2.33304         8
2-0118       -0.95  -7.86599  -4.12048         8
2-0137    -0.95769  -10.9473  -4.26793         8
2-0159    -1.60626  -17.27191  -3.74034         1
2-0171     2.21333  -20.54826  -3.06529         8
2-0193    12.82224  -25.44811   2.57045         8
2-0199    14.26483  -25.38643   3.97752         8
2-0212    12.63501  -22.91405   5.64264         8
2-0235      3.7271  -15.76117   0.26144         8
2-0254    -1.94997  -14.38854  -5.21866         1
2-0282    -8.97295  -9.37782  -8.02844         1
2-0297    -16.15164   0.35526  -11.00491        10
2-0317    -22.78757   11.4004  -16.53264        10
2-0338    -22.94656   9.87866  -13.57793        10
2-0359    -13.65433  -2.00262  -7.37813         1
2-0383    -10.9133  -13.29684  -0.80612         1
2-0407    -11.39757  -16.81118   5.12109         1
2-0417    -12.53435  -15.44569   7.91516         1
2-0428    -14.32451  -11.73532   9.98538         1
2-0461    -14.93416  -6.56999   8.05409         1
2-0472     -14.192  -8.10352   6.91457         1
2-0497    -13.27092    -3.186   5.97676         1
2-0518    -16.32228  13.88827   3.59508        10
2-0555    -28.0426  13.99347   6.66783        10
2-0576    -26.7774  -6.42555  13.92792         1
2-0603    -29.21457   -2.1746   9.51591         7
2-0615    -31.53181   8.16652   5.10646         7
2-0625    -34.27644  18.72574    2.1485         7
2-0637    -34.16815   28.6495  -0.90076        10
2-0648    -31.44096  31.26054   -2.4054        10
2-0658    -29.38522   27.2145  -1.41403        10
2-0671    -26.63939  17.37009   2.50687        10
2-0681    -24.17271   9.46738   4.90999        10
2-0690    -21.79491   2.64804   6.31474         1
2-0700    -19.28232  -3.23701   7.53537         1
2-0714    -15.2771  -10.30346  10.49252         1
2-0722    -13.04079  -12.60559  12.42264         1
2-0734    -9.92851  -11.08208  13.79738         1
2-0745    -7.30632  -6.24562  12.59578         1
2-0767    -5.46696   7.27154   2.33902        10
2-0776    -6.77478   9.66681  -1.38173        10
2-0788    -10.43359   8.85183  -3.99858        10
2-0820    -18.86324   -0.5446  -2.21947         1
2-0859    -17.96443   7.17233   -8.1599        10
2-0880    -21.88472  10.15968  -11.94066        10
2-0912    -14.6505  -0.85402  -9.74901         1
2-0921    -13.06467  -0.60695  -8.61327        10
2-0933    -11.85086  -1.89609  -6.10696         1
2-0943    -11.86269  -4.34884  -3.63609         1
2-0956    -13.13713  -7.12173   -0.2661         1
2-0963    -14.12122  -8.67089   1.47353         1
2-0975    -13.30684  -12.90803    3.3206         1
2-0988    -8.39525  -16.95583   3.32454         1
2-0997    -5.93416  -18.23777   2.68564         1
2-1008    -4.30594  -19.03932   2.27812         1
2-1018    -4.15349  -18.52223   2.50897         1
2-1029    -5.63663  -17.78441   3.23344         1
2-1040     -7.5742  -17.59839   3.17683         1
2-1053    -9.43811  -16.22151   1.82137         1
2-1061    -9.95081  -15.38277   0.82019         1
2-1073    -12.60204  -11.9748  -1.27229         1
2-1098    -24.29156  -8.18503   -6.2798         1
2-1129    -34.35953  -13.26475  -6.71721         7
2-1142    -33.02982  -12.10197  -8.03365         7
2-1152    -29.74644  -10.10427   -9.6301         7
2-1162    -26.97302  -6.81274  -11.58244         7
2-1171    -25.39438  -4.75059  -13.44791         7
2-1184    -23.14885  -6.90034  -14.37599         1
2-1185     -22.905  -7.35484  -14.29755         1
2-1194    -20.3893  -12.39423  -12.67244         1
2-1205    -17.81293  -18.19853    -9.937         1
2-1216    -16.39391  -21.75738  -7.29068         1
2-1227    -15.85284  -22.89531  -5.28813         1
2-1235    -16.69304  -21.99209   -4.6077         1
2-1261    -23.40308  -19.7499  -3.42195         1
2-1268    -22.94823  -22.42501  -2.53259         1
2-1279    -20.08456  -26.63007  -1.53546         1
2-1291    -16.96181  -27.80411  -1.50821         1
2-1299    -15.22981  -26.27221  -1.88795         1
2-1311    -15.05499  -21.85584  -3.52559         1
2-1323    -20.19693  -15.18199  -7.13174         1
2-1333    -28.8539  -9.48402  -9.78328         7
2-1344    -41.22934  -5.48085  -11.38319         7
2-1364    -50.26097  -4.90319  -12.5583         7
2-1383    -47.05832  -1.66768  -12.97459         7
2-1407    -47.48256   6.54232  -13.11607         7
2-1413    -49.14458   6.86685  -12.0251         7
2-1436    -48.72444   1.24077  -5.48389         7
2-1447    -43.52725  -3.01979   -1.6458         7
2-1456    -38.5782  -6.71786   1.32751         7
2-1469    -35.67046  -10.18629   3.54137         7
2-1477    -37.35477  -10.21028   3.38362         7
2-1478    -37.74654  -10.05723   3.30551         7
2-1490     -45.274  -5.13707   1.71017         7
2-1498    -51.37364  -0.80407   0.62436         7
2-1510    -54.46159   1.76288  -1.02127         7
2-1535    -54.46827    3.4386  -1.69145         3
2-1556    -55.22301   0.52359  -0.56927         3
2-1557    -55.13689    0.2921  -0.50299         3
2-1579    -58.00776   1.97868    -1.683         3
2-1600    -58.3967   3.39734   -5.1371         3
2-1613    -58.60889   5.90248  -5.91508         3
2-1620    -60.45224   8.98487  -5.83693         3
2-1642    -64.56918  13.41469  -3.61024         3
2-1648    -65.66286  13.31744  -3.03239         3
2-1662    -71.69201     13.83  -2.31609         3
2-1675    -78.93977  13.11323  -1.15639         3
2-1684    -81.24164  11.41593   0.26984         3
2-1693    -80.69154   9.09896   1.81902         3
2-1704    -76.76247   6.88199   3.28656         3
2-1716    -70.33839   6.55191   4.91148         3
2-1745    -72.30155   6.18163  11.72783         3
2-1746    -72.91941   6.07582  12.04012         3
2-1757    -78.97832   5.21589  15.59932         3
2-1765    -81.91545   5.76725  17.83104         3
2-1787    -77.75185   2.62933  20.56267         3
2-1810    -71.76697  -2.62365  15.65118         3
2-1820    -73.16508  -0.12084   11.9482         3
2-1830    -74.99384   3.20936   8.69051         3
2-1852    -76.25699  16.72427   3.26161         3
2-1861    -77.78749  24.23177   0.44325         3
2-1873    -81.38242   29.9012  -2.40634        11
2-1880    -84.17667  30.30585  -3.40573        11
2-1894    -90.73415  27.45093  -5.12935        11
2-1901    -94.46084   26.9904  -6.67657        11
2-1914    -99.45935  28.62784  -11.18939        11
2-1924    -98.84943  29.15608  -15.48782        11
2-1935    -97.45187  29.70863  -17.75908        11
2-1945    -98.12434  31.42058  -16.74547        11
2-1957    -101.28407  34.63464  -13.25732        11
2-1967    -103.05452  35.68021  -9.00645        11
2-1977    -101.24444  32.72461  -4.12109        11
2-1988    -96.06371  27.11494   0.47588        11
2-1998    -91.29201  21.29132    4.7195        11
3-0014     6.64334   -4.0148  10.70079         8
3-0039     9.17889  -5.90752  13.68335         8
3-0049      8.8476  -4.23965   14.2697         8
3-0067     7.11841   3.34691  10.52473         8
3-0089     6.93416   6.31984   4.73245         9
3-0122     9.11043  -0.02634  -0.42357         8
3-0149     3.76537  10.66659   -5.1591        10
3-0170    -0.74683  14.99531  -5.85083        10
3-0183    -0.39537  10.10526  -4.75121        10
3-0184    -0.29095   9.69567  -4.68544        10
3-0191      0.4566   7.26037   -4.4325        10
3-0212      3.3385   4.84861  -5.01164        10
3-0234     6.37393   6.10738  -4.25829         9
3-0260      7.7738   4.10449  -0.77809         9
3-0286    10.69206   0.26235   3.35356         8
3-0315     9.94019  -1.57013   3.73796         8
3-0340      5.9892  -5.56629   3.65895         8
3-0367     1.78404   4.86308   0.99963        10
3-0395     2.25722  12.31347   1.72455        10
3-0408     1.99355   7.22473   5.68234        10
3-0419     1.68394   1.53993   9.20143         8
3-0425     1.49783  -1.32221  10.58763         8
3-0447     0.66183   -5.9277  12.38243         8
